Title,Price,Subscribers,Reviews,% of Subscribers who Left Reviews,Length (Hrs)
Complete Website & CMS in PHP & MySQL From Scratch!,20,3357,82,2.4426571343461423,12.5
The Complete Web Development Tutorial Using React and Redux,40,796,43,5.402010050251256,4
Create and Deploy a Web App in 3 Hours,50,4123,23,0.5578462284744118,3.5
HTML & CSS From Scratch in 30 Days,75,2697,64,2.3730070448646643,11.5
Getting Started with Craft CMS,20,997,31,3.1093279839518555,2
JavaScript For Absolute Beginners - Level One,65,713,80,11.220196353436185,1.5
Effective Personal Website Building and Hosting,20,4259,0,0.0,1
Web Design for Web Developers: Build Beautiful Websites!,Free,98867,6512,6.586626477995691,3
"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",200,1849,21,1.1357490535424553,3
Getting Started with NodeJS for Beginners,195,1645,75,4.5592705167173255,1
Quickstart AngularJS,Free,64128,4047,6.3108158682634725,1.5
Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,20,2160,16,0.7407407407407408,4
Learn Building Your Own Website Without Coding,50,7660,7,0.09138381201044386,2
Practical Guide to Web Development,20,2025,16,0.7901234567901235,2
The Complete HTML5 and CSS3 Course,40,1548,30,1.937984496124031,15
HTML & CSS for beginners: Build 3 projects from scratch,40,2472,139,5.622977346278317,4
Code a 'Coming Soon' Landing Page in Bootstrap 4,Free,13535,473,3.494643516808275,1.5
Introduction to Bootstrap 3,20,5795,79,1.363244176013805,2.5
Master ExpressJS to Build Web Apps with NodeJS&JavaScript,50,2643,56,2.118804388951949,3.5
Learn XML Crash Course: Discover Essential XML Fundamentals ,50,3704,111,2.9967602591792657,2
HTML5 CSS3 JQUERY Single Page Website Project from Scratch,120,1678,34,2.026221692491061,2.5
Scrape Websites using PhantomJS and CasperJS,195,960,110,11.458333333333332,2
Amazon s3 Mastery - THE How-To' Guides For Amazon S3,95,1811,118,6.515737161789067,3.5
HTML and CSS Crash Course for Beginners,50,4123,46,1.1156924569488236,4.5
EMMET Faster HTML & CSS workflow - Best Tool For Developers ,Free,26697,1097,4.109075926134023,1
Introduction to Web Development,50,5921,35,0.5911163654788043,4.5
AngularJS For ASP.NET MVC Developers,50,3011,57,1.8930587844569908,1
Serverless Workflow Management with AWS Step Functions,Free,8768,173,1.9730839416058392,1
How to set up a Web Server From Scratch to One Fully Managed,200,1673,31,1.852958756724447,3
The Complete PHP MySQL Professional Course with 5 Projects,200,16158,159,0.9840326773115484,19.5
Angular Masterclass,150,4057,359,8.848903130391914,6.5
Become a Professional Web Developer | Version 3.0,200,6851,276,4.0286089621953,60
Build Incredible Chatbots,100,2234,253,11.324977618621308,11.5
Try Django 1.10 | Create a URL Shortening Service,50,9607,78,0.8119079837618403,5.5
Projects in CSS,60,4689,216,4.606525911708253,10
Ruby on Rails: Training and Skills to Build Web Applications,95,9375,219,2.336,7
Learn and Understand React,30,4848,105,2.1658415841584158,16.5
Learn Javascript & JQuery From Scratch,30,84897,2685,3.1626559242376056,2
Learn to use JSON,150,12838,96,0.747780028041751,1.5
The Ultimate Web Developer How To Guide,200,24861,423,1.701460118257512,22.5
"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",20,9762,94,0.9629174349518541,13.5
jQuery Crash Course: Learn the Essentials of jQuery Fast,50,11262,142,1.2608772864500088,2
Drupal Tutorial : Drupal 8 Beginner to Expert in 8 PROJECTS,200,1270,16,1.2598425196850394,7
The Complete PHP CodeIgniter Course: Beginner To Advanced,195,17895,212,1.1846884604638168,4
JavaScript For Beginners : Learn JavaScript From Scratch,195,11285,102,0.9038546743464776,5.5
"Mastering 'Native CSS Shapes To Build Modern Web Pages""",195,1040,5,0.4807692307692308,3.5
WordPress Development For Beginners,95,23572,210,0.8908874936365179,2
WordPress local server setup and site migration online,55,3801,43,1.1312812417784792,1
PHP Fundamentals - Start Earning The Top Dollars You Deserve,195,12068,81,0.6711965528670866,1.5
Interactive Dynamic JavaScript for beginners DOM,200,5559,35,0.6296096420219464,2
Javascript Intermediate level 1 - Mastering the DOM,100,1838,169,9.194776931447226,3
Sublime Text for Rapid Web Development,20,2104,69,3.279467680608365,1
Servlets and JSPs Tutorial: Learn Web Applications With Java,35,15187,970,6.38704154869296,10
Projects in PHP and MySQL,60,10606,570,5.374316424665284,23
PHP OOP: Object Oriented Programming for beginners + Project,200,6497,901,13.867939048791749,18
React Redux React-Router: From Beginner to Paid Professional,20,11536,876,7.593619972260749,6.5
Django Core | A Reference Guide to Core Django Concepts,195,16282,303,1.860950743151947,18.5
"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",195,949,129,13.593256059009484,20.5
"Build An Online Bank With Java, Angular 2, Spring and More",195,1995,286,14.335839598997493,6.5
The Complete jQuery Course: From Beginner To Advanced!,195,6636,302,4.550934297769741,6
Projects in AngularJS - Learn by building 10 Projects,40,7146,629,8.802127064091799,14.5
The Ultimate Vue JS 2 Developers Course,195,1703,292,17.146212566059894,13
React JS - Build real world JS apps & deploy on cloud,175,12815,262,2.0444791260241906,8.5
Angular 4 Front To Back,40,44,0,0.0,8.5
"Modern Web Development with SASS, Gulp, NPM & Web Workflows",95,502,62,12.350597609561753,5
